TotalLengthofFwdPacket,TotalLengthofBwdPacket,FwdPacketLengthMin,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytess,FlowIATMax,FwdIATMin,BwdIATTotal,BwdIATMax,BwdIATMin,FwdURGFlags,FwdPacketss,BwdPacketss,PacketLengthMean,PacketLengthVariance,SYNFlagCount,RSTFlagCount,ECEFlagCount,DownUpRatio,FwdPacketBulkAvg,FwdBulkRateAvg,BwdBytesBulkAvg,BwdBulkRateAvg,SubflowBwdPackets,SubflowBwdBytes,BwdInitWinBytes,FwdActDataPkts,ActiveStd,ActiveMax,IdleMean,IdleStd,IdleMin,Label
222,926,0,0,18.15686275,20.22510573,7402.201317,70333,0,154618,100986,1,0,322.3955277,328.8434383,11.25490196,272.3106193,4,0,0,1,0,0,1148,7467,0,0,20272,20,0,0,0,0,0,0
0,0,0,0,0,0,0,308,0,4,4,4,0,3205.128205,6410.25641,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
806,1052,0,0,50.0952381,127.9593313,4349.556383,100714,1,426600,100714,1,0,46.81976731,49.16075567,44.23809524,11116.38095,4,0,0,1,0,0,1858,4666,0,0,13032,10,0,0,0,0,0,0
696,0,0,0,0,0,1767.363201,132123,6,328963,328962,1,0,20.31451955,7.617944831,58,14264.72727,4,0,0,0,0,0,696,70659,0,0,16383,4,0,0,0,0,0,1
34900,1188,0,0,30.46153846,65.51570569,422665.1988,56528,1,84839,56528,1,0,585.603523,456.7707479,400.9777778,402627.0332,4,0,0,0,0,0,36088,431365,0,0,30408,34,0,0,0,0,0,0
0,0,0,0,0,0,0,83,0,4,4,4,0,11494.25287,22988.50575,0,0,0,0,0,2,0,0,0,0,0,0,13032,0,0,0,0,0,0,0
0,0,0,0,0,0,0,332,0,1,1,1,0,3003.003003,6006.006006,0,0,0,0,0,2,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
0,0,0,0,0,0,0,306,0,2,2,2,0,3246.753247,6493.506494,0,0,0,0,0,2,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
470,47874,0,0,759.9047619,629.8305126,1921462.639,1805,0,24509,2075,1,0,2464.228935,2503.974563,383.6825397,339587.5784,4,0,0,1,0,0,48344,2092813,0,0,14480,12,0,0,0,0,0,0
0,0,0,0,0,0,0,307,0,2,2,2,0,3236.245955,6472.491909,0,0,0,0,0,2,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
0,8192,0,0,910.2222222,690.1336425,902500.8263,4223,3,8597,5362,4,0,661.0113474,991.517021,512,471500.8,4,0,0,1,0,0,8192,2761038,0,0,5792,0,0,0,0,0,0,0
0,8192,0,0,910.2222222,690.1336425,36909.21379,173864,2,221428,174006,4,0,27.03311557,40.54967335,512,471500.8,4,0,0,1,0,0,8192,46809,0,0,5792,0,0,0,0,0,0,0
486,58256,0,0,820.5070423,596.0839076,350855.607,22772,0,166857,23040,1,0,430.043303,424.0704793,407.9305556,340791.7574,4,0,0,0,0,0,58742,366727,0,0,14480,12,0,0,0,0,0,0
454,22628,0,0,551.902439,622.1749675,1026825.037,4741,1,21468,4974,1,0,1779.438587,1823.924552,281.4878049,265396.0554,4,0,0,1,0,0,23082,1112600,0,0,14480,12,0,0,0,0,0,0
76,108,38,54,54,0,167577.4135,1081,9,8,8,8,0,1821.493625,1821.493625,44.4,76.8,0,0,0,1,0,0,184,167577,0,0,0,1,0,0,0,0,0,0
456,192,114,48,48,0,140594.489,1998,3,3084,3070,7,0,867.8672163,867.8672163,84.66666667,1210,0,0,0,1,0,0,648,140594,0,0,0,3,0,0,0,0,0,0
90,122,45,61,61,0,215666.3276,967,9,7,7,7,0,2034.587996,2034.587996,51.4,76.8,0,0,0,1,0,0,212,215666,0,0,0,1,0,0,0,0,0,0
76,108,38,54,54,0,170055.4529,1070,6,6,6,6,0,1848.428835,1848.428835,44.4,76.8,0,0,0,1,0,0,184,170055,0,0,0,1,0,0,0,0,0,0
470,39056,0,0,710.1090909,620.3837424,479498.2531,6761,1,80318,6990,1,0,655.0854037,667.2166149,359.3272727,315023.0112,4,0,0,1,0,0,39526,499324,0,0,14480,12,0,0,0,0,0,0
0,0,0,0,0,0,0,364,0,3,3,3,0,2724.79564,5449.591281,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
74,106,37,53,53,0,174249.758,1019,9,5,5,5,0,1936.108422,1936.108422,43.4,76.8,0,0,0,1,0,0,180,174249,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,319,0,3,3,3,0,3105.590062,6211.180124,0,0,0,0,0,2,0,0,0,0,0,0,20272,0,0,0,0,0,0,0
0,1588,0,0,317.6,434.8917107,644219.0669,1497,4,1940,1643,4,0,1622.718053,2028.397566,158.8,112077.5111,4,0,0,1,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
508,0,0,0,0,0,1858.647651,94044,7,195138,195131,7,0,21.95253131,10.97626565,50.8,11469.51111,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
432,1628,0,0,180.8888889,337.5708979,301610.5417,3034,3,6284,3168,3,0,1464.128843,1317.715959,103,55314.52632,4,0,0,0,0,0,2060,377842,0,0,10136,6,0,0,0,0,0,0
34490,1188,0,0,30.46153846,65.51570569,1181899.493,3990,1,29673,6416,2,0,1656.342134,1291.946865,396.4222222,394263.0332,4,0,0,0,0,0,35678,1252474,0,0,30408,34,0,0,0,0,0,0
0,1498,0,0,299.6,410.2441956,579721.3622,1575,3,2041,1711,5,0,1547.987616,1934.98452,149.8,99733.51111,4,0,0,1,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
90,122,45,61,61,0,207233.6266,1011,4,8,8,8,0,1955.034213,1955.034213,51.4,76.8,0,0,0,1,0,0,212,207233,0,0,0,1,0,0,0,0,0,0
614,296,0,0,42.28571429,72.2166054,268753.6917,1744,3,2882,2136,3,0,1772.002363,2067.33609,65,13319.69231,4,0,0,1,0,0,910,423847,0,0,7240,2,0,0,0,0,0,0
0,0,0,0,0,0,0,22746,3,3,3,3,0,68.44939308,45.63292872,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0
0,0,0,0,0,0,0,349,0,2,2,2,0,2849.002849,5698.005698,0,0,0,0,0,2,0,0,0,0,0,0,31856,0,0,0,0,0,0,0
0,0,0,0,0,0,0,321,0,4,4,4,0,3076.923077,6153.846154,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
0,0,0,0,0,0,0,75102,9,4,4,4,0,39.62017459,26.41344973,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0
3040,1512,0,0,72,78.02563681,20110.53727,84505,1,225726,84505,2,0,97.19503952,92.77708318,103.4545455,31531.60254,4,0,0,0,0,0,4552,20231,0,0,14480,12,0,0,0,0,0,0
486,80372,0,0,903.0561798,578.5890825,254705.3617,25700,1,316929,25976,1,0,277.2028968,280.3529297,454.258427,369116.6673,4,0,0,1,0,0,80858,259822,0,0,14480,12,0,0,0,0,0,0
384,6218,0,0,565.2727273,712.9499409,12464.41167,254138,1,471771,367418,1,0,13.21582576,20.7677262,347.4736842,354308.2632,4,0,0,1,0,0,6602,20476,0,0,16383,2,0,0,0,0,0,1
222,924,0,0,18.11764706,20.1788474,1252.227731,188444,4,914676,275978,1,0,54.63471774,55.7274121,11.23529412,271.1124054,4,0,0,1,0,0,1146,1280,0,0,20272,20,0,0,0,0,0,0
0,0,0,0,0,0,0,64372,4,3,3,3,0,29.83797977,19.89198651,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
486,54438,0,0,837.5076923,611.9595862,1871027.082,1842,1,28797,2080,1,0,2180.207801,2214.273548,422.4923077,359528.872,4,0,0,1,0,0,54924,1961291,0,0,14480,12,0,0,0,0,0,0
902,1208,0,0,57.52380952,118.3442517,397288.6462,626,1,4722,848,2,0,4142.346074,3954.057616,47.95454545,9852.97463,4,0,0,0,0,0,2110,568426,0,0,13032,10,0,0,0,0,0,0
0,0,0,0,0,0,0,30383,4,1,1,1,0,95.95701126,63.97134084,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
1278,525432,0,0,1207.889655,504.7649238,1428838.829,10010,1,368096,10010,1,0,629.3607648,1180.051434,788.488024,494917.1858,4,0,0,1,0,0,526710,1454642,0,0,34752,40,0,0,0,0,0,0
0,0,0,0,0,0,0,354,0,2,2,2,0,2808.988764,5617.977528,0,0,0,0,0,2,0,0,0,0,0,0,34752,0,0,0,0,0,0,0
112,0,56,0,0,0,14000000,8,8,0,0,0,0,250000,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,344,0,4,4,4,0,2873.563218,5747.126437,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
0,0,0,0,0,0,0,311,0,3,3,3,0,3184.713376,6369.426752,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
0,0,0,0,0,0,0,310,0,2,2,2,0,3205.128205,6410.25641,0,0,0,0,0,2,0,0,0,0,0,0,20272,0,0,0,0,0,0,0
948,9224,0,0,614.9333333,676.0667197,9085.817746,999397,3,1119079,1000665,1,0,10.71862101,13.39827627,363.2857143,318535.9153,4,0,0,1,0,0,10172,9095,0,0,8688,4,0,0,0,0,0,0
680,1716,0,0,343.2,469.9459543,9046.971757,56485,3,257608,152555,9,0,30.20691738,18.87932337,171.1428571,94465.05495,4,0,0,0,0,0,2396,22470,0,0,16383,4,0,0,0,0,0,1
432,192,88,24,48,27.71281292,9434.818108,46102,11,53010,52990,9,0,60.47960325,60.47960325,79.11111111,1399.111111,0,0,0,1,0,0,624,9434,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,319,0,2,2,2,0,3115.264798,6230.529595,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
486,86280,0,0,969.4382022,564.2291192,976313.9832,7731,1,87534,7970,0,0,990.1992776,1001.451542,487.4494382,392025.8986,4,0,0,1,0,0,86766,1001512,0,0,14480,12,0,0,0,0,0,0
1060,0,530,0,0,0,353333333.3,3,3,0,0,0,0,666666.6667,0,530,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,311,0,2,2,2,0,3194.888179,6389.776358,0,0,0,0,0,2,0,0,0,0,0,0,59368,0,0,0,0,0,0,0
0,0,0,0,0,0,0,315,0,3,3,3,0,3144.654088,6289.308176,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
806,1052,0,0,50.0952381,127.9593313,371600,809,1,4377,1238,1,0,4000,4200,44.23809524,11116.38095,4,0,0,1,0,0,1858,505715,0,0,13032,10,0,0,0,0,0,0
454,11408,0,0,345.6969697,552.0633164,1170284.136,1055,1,9511,1055,1,0,3157.063931,3255.722178,179.7272727,178252.5706,4,0,0,1,0,0,11862,1481268,0,0,14480,12,0,0,0,0,0,0
90,0,0,0,0,0,146.6808567,376736,4,545239,545232,7,0,9.778723779,4.889361889,9,360,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
0,0,0,0,0,0,0,372,0,2,2,2,0,2673.796791,5347.593583,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
0,0,0,0,0,0,0,332,0,5,5,5,0,2967.35905,5934.718101,0,0,0,0,0,2,0,0,0,0,0,0,15928,0,0,0,0,0,0,0
700,700,0,0,46.66666667,96.39551462,81018.51852,4757,2,16808,7655,1,0,810.1851852,868.0555556,46.66666667,8971.678161,4,0,0,1,0,0,1400,120181,0,0,10136,6,0,0,0,0,0,0
0,0,0,0,0,0,0,343,0,1,1,1,0,2906.976744,5813.953488,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
1426,0,713,0,0,0,142600000,10,10,0,0,0,0,200000,0,713,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,29786,5,9,9,9,0,58.56858381,39.04572254,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
0,0,0,0,0,0,0,172610,2,2,2,2,0,10.90361927,7.269079516,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
224,744,0,0,39.15789474,33.46849789,742.0734975,301574,0,1285759,370151,1,0,14.5654922,14.5654922,24.82051282,810.2564103,4,0,0,1,0,0,968,1129,0,0,16383,12,0,0,0,0,0,1
0,0,0,0,0,0,0,336,0,2,2,2,0,2958.579882,5917.159763,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
578,0,0,0,0,0,1406.873722,155924,11,304389,304375,14,0,14.60422549,7.302112745,57.8,14848.17778,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
2744,1512,0,0,100.8,74.74451724,792846.4978,1263,2,4816,1391,2,0,2980.625931,2794.336811,133,26193.54839,4,0,0,0,0,0,4256,1022831,0,0,14480,12,0,0,0,0,0,0
0,0,0,0,0,0,0,170,0,4,4,4,0,5747.126437,11494.25287,0,0,0,0,0,2,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
0,0,0,0,0,0,0,309,0,1,1,1,0,3225.806452,6451.612903,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
120,0,0,0,0,0,162.3763234,311576,3,703632,392041,7,0,8.118816168,6.76568014,10,545.4545455,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
90,122,45,61,61,0,201329.5347,1035,10,8,8,8,0,1899.335233,1899.335233,51.4,76.8,0,0,0,1,0,0,212,201329,0,0,0,1,0,0,0,0,0,0
700,700,0,0,46.66666667,96.39551462,78966.66479,4506,1,17277,7053,0,0,789.6666479,846.0714084,46.66666667,8971.678161,4,0,0,1,0,0,1400,113085,0,0,10136,6,0,0,0,0,0,0
486,46358,0,0,785.7288136,620.8517184,466829.4384,5765,1,99832,6030,1,0,578.0058797,587.9714983,396.9830508,343669.5553,4,0,0,1,0,0,46844,497631,0,0,14480,12,0,0,0,0,0,0
0,0,0,0,0,0,0,338,0,2,2,2,0,2941.176471,5882.352941,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
454,28898,0,0,642.1777778,642.4099615,1605513.62,1663,1,17584,2038,1,0,2406.738869,2461.437479,326.1333333,305227.3978,4,0,0,1,0,0,29352,1737627,0,0,14480,12,0,0,0,0,0,0
486,82430,0,0,926.1797753,561.7578248,1550904.364,4743,0,52963,4993,0,0,1645.998167,1664.702692,465.8202247,370145.0296,4,0,0,1,0,0,82916,1584301,0,0,14480,12,0,0,0,0,0,0
1848,0,0,0,0,0,9340.73988,63845,9,133988,133978,10,0,30.32707753,15.16353877,184.8,151782.4,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
514,0,0,0,0,0,3175.054204,54454,11,147525,147516,9,0,37.06288955,18.53144477,51.4,11742.04444,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
888,0,444,0,0,0,444000000,2,2,0,0,0,0,1000000,0,444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
362,4482,0,0,640.2857143,659.9698767,7436.382393,233819,5,558648,458235,2,0,10.74621733,10.74621733,322.9333333,284596.781,4,0,0,1,0,0,4844,34324,0,0,16383,2,0,0,0,0,0,1
486,78058,0,0,940.4578313,573.9445095,397725.3738,24681,1,196990,24926,0,0,425.3530684,420.2893414,467.5238095,381587.8677,4,0,0,0,0,0,78544,406609,0,0,14480,12,0,0,0,0,0,0
432,1628,0,0,180.8888889,337.5708979,560239.3255,818,4,2984,1025,1,0,2719.608376,2447.647539,103,55314.52632,4,0,0,0,0,0,2060,935938,0,0,10136,6,0,0,0,0,0,0
0,0,0,0,0,0,0,61274,9,7,7,7,0,33.66021139,22.44014092,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
0,0,0,0,0,0,0,42024,6,2,2,2,0,43.68847207,29.12564805,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
0,0,0,0,0,0,0,444,0,5,5,5,0,2227.171492,4454.342984,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
486,42164,0,0,714.6440678,613.8304765,1674190.383,4125,1,24935,4950,1,0,2276.741904,2315.996075,361.440678,312776.0776,4,0,0,1,0,0,42650,1768242,0,0,14480,12,0,0,0,0,0,0
90,122,45,61,61,0,207639.569,1003,10,8,8,8,0,1958.863859,1958.863859,51.4,76.8,0,0,0,1,0,0,212,207639,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,26703,8,9,9,9,0,56.61979806,37.74653204,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
486,90456,0,0,952.1684211,548.9914283,781839.4402,6815,0,115819,7051,1,0,825.3236816,816.7265599,473.65625,373870.1954,4,0,0,0,0,0,90942,791240,0,0,14480,12,0,0,0,0,0,0
454,14454,0,0,438,589.3069552,1428516.673,1253,1,9902,1771,1,0,3449.597547,3162.131085,212.9714286,207112.8398,4,0,0,0,0,0,14908,1633574,0,0,14480,12,0,0,0,0,0,0
218,0,0,0,0,0,904.8421507,78643,3,179714,179707,7,0,24.9039124,12.4519562,21.8,2112.177778,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
0,0,0,0,0,0,0,340,0,2,2,2,0,2923.976608,5847.953216,0,0,0,0,0,2,0,0,0,0,0,0,7240,0,0,0,0,0,0,0
0,0,0,0,0,0,0,463,0,2,2,2,0,2150.537634,4301.075269,0,0,0,0,0,2,0,0,0,0,0,0,13032,0,0,0,0,0,0,0
454,14936,0,0,426.7428571,585.5717338,903010.0334,6696,0,16577,6961,1,0,1994.95394,2053.629056,219.8571429,212615.9503,4,0,0,1,0,0,15390,967316,0,0,14480,12,0,0,0,0,0,0
0,0,0,0,0,0,0,25209,10,8,8,8,0,114.7534713,76.5023142,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
700,700,0,0,46.66666667,96.39551462,80948.25094,4526,2,16795,6817,1,0,809.4825094,867.3026886,46.66666667,8971.678161,4,0,0,1,0,0,1400,118033,0,0,10136,6,0,0,0,0,0,0
120,0,0,0,0,0,189.889342,268406,5,620795,352374,6,0,9.494467099,7.912055916,10,545.4545455,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
2056,4218,0,0,183.3913043,292.2571625,611978.1506,2719,1,9621,2719,1,0,2828.716348,2243.46469,118.3773585,54387.20102,4,0,0,0,0,0,6274,774376,0,0,14480,12,0,0,0,0,0,0
690,494,0,0,70.57142857,120.523659,168.2022462,6232465,5,6971175,6620793,2,0,0.994438955,0.994438955,78.93333333,19043.6381,4,0,0,1,0,0,1184,2410,7,494,16383,2,0,186742,6232465,0,6232465,1
1482,689778,0,0,1212.26362,499.9237098,157472.9606,3074284,0,4389226,3074699,1,0,69.70854085,129.6214371,789.109589,494680.6874,4,0,0,1,0,0,345630,527934,569,689778,43440,52,0,0,0,0,0,0
90,122,45,61,61,0,202483.2856,1028,11,8,8,8,0,1910.219675,1910.219675,51.4,76.8,0,0,0,1,0,0,212,202483,0,0,0,1,0,0,0,0,0,0
34648,1188,0,0,30.46153846,65.51570569,1561889.819,2051,1,22398,4052,2,0,2179.218968,1699.790795,398.1777778,397267.5186,4,0,0,0,0,0,35836,1691654,0,0,30408,34,0,0,0,0,0,0
486,68074,0,0,884.0779221,579.9724305,1477427.001,5719,1,45784,5972,1,0,1637.754552,1659.303954,445.1948052,361100.8638,4,0,0,1,0,0,68560,1521459,0,0,14480,12,0,0,0,0,0,0
0,0,0,0,0,0,0,308,0,3,3,3,0,3215.434084,6430.868167,0,0,0,0,0,2,0,0,0,0,0,0,10136,0,0,0,0,0,0,0
0,0,0,0,0,0,0,314,0,5,5,5,0,3134.796238,6269.592476,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
0,0,0,0,0,0,0,301,0,4,4,4,0,3278.688525,6557.377049,0,0,0,0,0,2,0,0,0,0,0,0,20272,0,0,0,0,0,0,0
0,0,0,0,0,0,0,312,0,3,3,3,0,3174.603175,6349.206349,0,0,0,0,0,2,0,0,0,0,0,0,10136,0,0,0,0,0,0,0
0,0,0,0,0,0,0,337,0,2,2,2,0,2949.852507,5899.705015,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
948,9224,0,0,614.9333333,676.0667197,10128.04429,999639,3,1003726,1000527,3,0,9.956787542,14.93518131,391.2307692,332648.5046,4,0,0,1,0,0,10172,10140,0,0,8688,4,0,0,0,0,0,0
456,208,114,52,52,0,133547.8681,2271,4,3414,3398,8,0,804.5052293,804.5052293,86.44444444,1067.777778,0,0,0,1,0,0,664,133547,0,0,0,3,0,0,0,0,0,0
352,1386,0,0,277.2,379.5717324,6040.511045,74579,4,253749,178320,2,0,24.32887072,17.3777648,133.6923077,65841.0641,4,0,0,0,0,0,1738,28482,0,0,16383,2,0,0,0,0,0,1
0,0,0,0,0,0,0,68911,9,6,6,6,0,43.1145986,28.74306574,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0
0,0,0,0,0,0,0,348,0,2,2,2,0,2857.142857,5714.285714,0,0,0,0,0,2,0,0,0,0,0,0,10136,0,0,0,0,0,0,0
0,0,0,0,0,0,0,319,0,2,2,2,0,3115.264798,6230.529595,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
8,0,4,0,0,0,1600000,5,5,0,0,0,0,400000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,327,0,3,3,3,0,3030.30303,6060.606061,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
74,106,37,53,53,0,164684.355,1074,11,8,8,8,0,1829.826167,1829.826167,43.4,76.8,0,0,0,1,0,0,180,164684,0,0,0,1,0,0,0,0,0,0
136,0,0,0,0,0,269.7080212,297004,6,442818,442811,7,0,13.8820305,5.949441645,12.36363636,756.6545455,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
0,0,0,0,0,0,0,339,0,2,2,2,0,2932.55132,5865.102639,0,0,0,0,0,2,0,0,0,0,0,0,47784,0,0,0,0,0,0,0
470,21340,0,0,547.1794872,642.5896158,1751103.974,1773,1,11930,2028,1,0,3050.983541,3131.272581,279.6153846,276524.2398,4,0,0,1,0,0,21810,1945237,0,0,14480,12,0,0,0,0,0,0
408,192,88,24,48,27.71281292,342465.7534,1073,3,675,665,4,0,2283.105023,2283.105023,76.44444444,1133.777778,0,0,0,1,0,0,600,342465,0,0,0,3,0,0,0,0,0,0
478,378,0,0,54,92.22255689,1198.06574,262133,7,662078,374397,2,0,11.19687607,9.797266563,53.5,5599.466667,4,0,0,0,0,0,856,1759,0,0,16383,4,0,0,0,0,0,1
470,30510,0,0,649.1489362,628.5194466,623365.1254,5843,1,49173,7989,0,0,965.8336352,945.7121011,322.7083333,294764.9667,4,0,0,0,0,0,30980,700587,0,0,14480,12,0,0,0,0,0,0
3304,1512,0,0,100.8,74.74451724,1082247.191,876,3,3929,1368,2,0,3595.505618,3370.786517,150.5,50842.58065,4,0,0,0,0,0,4816,1512087,0,0,14480,12,0,0,0,0,0,0
74,106,37,53,53,0,177690.0296,998,8,7,7,7,0,1974.333662,1974.333662,43.4,76.8,0,0,0,1,0,0,180,177690,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,317,0,6,6,6,0,3095.975232,6191.950464,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
34512,1188,0,0,30.46153846,65.51570569,77237.28506,74145,1,461738,76009,1,0,108.1754693,84.37686603,396.6666667,394664.9438,4,0,0,0,0,0,35700,77536,0,0,30408,34,0,0,0,0,0,0
